ID,SMILES,mutagenicity
1,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,0
2,NC(CSCc1ccccc1)C(=O)O,0
3,CCNCC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1,0
4,CCCC,0
5,OC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](O)[C@@H]1O,1
6,CC(C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1
7,c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,1
8,NC(=O)c1cc[n+](COCN2C=CC=C/C2=C/[NH+]=O)cc1,0
9,Cc1ccc2nc3c(c4c(c5ccccc53)O4)c(C)c2c1,1
10,OCC(O)C1CO1,1
11,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,1
12,O=C(O)COc1ccc2ccccc2c1,0
13,ClCC[NH2+]CCCl,1
14,O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cccc3nc2c1,1
15,O=C1OCC(CCl)=C1Cl,1
16,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,0
17,O=C(Nc1ccc(F)cc1)c1csc([N+](=O)[O-])c1,1
18,c1ccc(/N=N/c2ccccc2)cc1,1
19,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,1
20,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccc(O)cc1-2,1
21,O=C(O)CS,0
22,CC(=O)Oc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O,1
23,Nc1ccc(N)cc1,1
24,CCCCN(CCC)N=O,1
25,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,1
26,CN(C)/N=N/c1ccccc1,1
27,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1,1
28,CC(=O)OCCC(C)C,0
29,Nc1cccc2cccc(S(=O)(=O)O)c12,1
30,O=S([O-])CO,0
31,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
32,Cc1cccc(NS(=O)(=O)c2cccc3cccnc23)c1,0
33,CCc1ccccc1N,0
34,O=[N+]([O-])C1=Cc2c3ccccc3cc3c2c1cc1ccccc13,1
35,C[n+]1cccc2c1C=C[C@H]1O[C@@H]21,1
36,Sc1nc2ccccc2s1,0
37,O=C(O)C1Cc2c([nH]c3ccccc23)C(CO)N1,0
38,CCc1cccc2cccnc12,1
39,CCC1(c2ccccc2)C(=O)NCNC1=O,1
40,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0
41,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0
42,[2H]C([2H])([2H])OC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0
43,Cc1cc2c(cc1C)C(C)c1ccccc1-2,1
44,CCCOS(=O)(=O)c1ccccc1,1
45,CCOP(=S)(OCC)SCCSCC,1
46,CCN(CCCCO)N=O,1
47,O=C([O-])C1=CC(=NNc2ccc(-c3ccc(N=Nc4ccc(NN=C5C=CC(=O)C(C(=O)[O-])=C5)c5cc(S(=O)(=O)[O-])ccc45)cc3)cc2)C=CC1=O,1
48,CC(Cl)CO,1
49,CO[C@H](C)[C@](O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)C,1
50,O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3c([N+](=O)[O-])cccc3c2c1,1
51,O=NN1CC=CCC1,1
52,CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1,1
53,COc1ccc2c(c1OC)c(=O)n(C)c1c3cc4c(cc3ccc21)OCO4,1
54,COC(=O)CC1C2(C)C3=C(C)C(c4ccoc4)CC3OC2C2OC(=O)C3(C)C=CC(=O)C1(C)C23,0
55,CC1=CC(=O)C=C(C)C1=O,0
56,O=[N+]([O-])c1ccc2c3c(ccc([N+](=O)[O-])c13)-c1ccccc1-2,1
57,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O)C1)C(=O)c1c(O)cccc1C3=O,1
58,Nc1cc(Cl)cc(Cl)c1,0
59,CN(C)c1ccc(N(C)C)cc1,1
60,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2,0
61,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0
62,C[SiH](Cl)Cl,0
63,N#CCBr,0
64,O=Nc1ccc(O)cc1,1
65,CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1,0
66,O=[N+]([O-])c1cc2c3c(ccc4cc([N+](=O)[O-])cc(c43)CC2)c1,1
67,O=[N+]([O-])c1cc2[nH]c3ccc4ccccc4c3c2c2ccccc12,1
68,CC(C)CC(C)N,0
69,Clc1nncc2ncccc12,0
70,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0
71,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,1
72,[O-][n+]1cc2cccnc2cn1,0
73,O=NN1CCCCCC1,1
74,C[C@]12CC[C@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO,0
75,CCCCCCCCCCCCCCCCCCCCCCO,0
76,Cc1cnc2c(ccc3c2nc(N)n3C)n1,1
77,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0
78,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,1
79,N[C@@H](CSC(F)(F)C(F)Cl)C(=O)O,0
80,CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1,0
81,CC(C)=O,0
82,ClCC(CCl)(CCl)CCl,0
83,CN(CCO)CCO,0
84,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,0
85,Nc1n[nH]c(=S)s1,0
86,CC(O)CNCC(C)O,0
87,Fc1cc(F)c2cccnc2c1,1
88,COc1c2ccoc2nc2c(OC)cccc12,1
89,CNC(=O)ON,1
90,CC(O)CN(CC(O)CO)N=O,1
91,C1=CC2OC2c2ncccc21,1
92,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0
93,CCc1cc(C(N)=S)ccn1,0
94,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,1
95,NCc1cccc(CN)c1,0
96,O=c1c2nc3ccccc3c-2n[nH]n1N=Cc1ccccc1,1
97,NC(=O)c1cccc2cccnc12,1
98,COC(=O)Nc1nc2ccc(/C(=N/O)c3ccc(F)cc3)cc2[nH]1,1
99,ClC(Cl)(Cl)c1ccccc1,1
100,O=c1ccc2cc3c4c(c2o1)CCCN4CCC3,1
101,Nc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,1
102,O=C1c2ccccc2C(=O)N1CCl,1
103,Sc1ccccc1,0
104,[N-]=[N+]=Nc1ccc2c(Nc3ccc(NS(=O)(=O)CCCN)cc3)c3cc(N=[N+]=[N-])ccc3nc2c1,1
105,Cc1c2ccccc2c(C)c2c1c1c(c3ccccc32)N1,1
106,Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1,1
107,CC(C)(C)CC(C)(C)c1ccc(O)cc1,0
108,CCN(CC)CCCN,0
109,CNc1ccc2nc(C)c(C)nc2c1C,1
110,CCNC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0
111,COc1ccc2c(c1)C(=O)c1nccc3cc4c(c-2c13)OCO4,1
112,O=[N+]([O-])c1ccc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,0
113,NC(=O)c1ccccc1O,0
114,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,1
115,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,1
116,CC(C)CCON=O,1
117,CC(=O)Nc1cccc2cc(F)cnc12,1
118,C1CS1,1
119,C=C1/C(=CC=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,0
120,O=C(C=Cc1ccc([N+](=O)[O-])cc1)c1ccccc1,1
121,Clc1ccc2ccccc2c1,0
122,CCC(Br)(CC)C(=O)NC(N)=O,0
123,CCC(=O)C(C)=O,0
124,COc1cc(O)c2c(=O)c3cc(OC)ccc3oc2c1,1
125,c1ccc2c(c1)ccc1[nH]c3ccc4ccccc4c3c12,0
126,O=[N+]([O-])c1ccc2cn[nH]c2c1,1
127,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0
128,O=C(c1ccccc1)C(O)c1ccccc1,0
129,O=C(NO)c1ccc(O)c(O)c1,1
130,CC[NH+](CCCl)CCC[NH2+]c1c2ccccc2nc2c(OC)cccc12,1
131,CN(C)/N=N/c1[nH]cnc1C(N)=O,1
132,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0
133,Nc1ccc([N+](=O)[O-])cc1,1
134,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,0
135,O=C1c2ccccc2C(=O)c2ccccc21,1
136,CN(C)c1ccccc1,0
137,c1ccc2cc(OCC3CO3)ccc2c1,1
138,O=C(CCl)c1ccc(Cl)cc1Cl,0
139,COc1cc(-c2ccc(N/N=C3C(=O)c4ccc(N)cc4C=C3S(=O)(=O)[O-])c(OC)c2)ccc1N/N=C1/C=C(S(=O)(=O)[O-])c2ccccc2C1=O,1
140,O=C1NCNC(=O)N1,1
141,ONc1ccc2c(c1)Cc1ccccc1-2,1
142,COc1cc2c(c3oc(=O)c4c(c13)CC[C@H]4O)[C@@H]1C=CO[C@H]1O2,1
143,Cc1cc(O)c2c(c1)C(=O)C(c1c(C)cc3c(c1O)C(=O)C=CC3=O)=CC2=O,0
144,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0
145,CC(=O)N(O)c1ccc(Oc2ccc(Cl)cc2)cc1,1
146,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OC[C@]1(O)C2,0
147,O=[N+]([O-])c1ccc2nc3cc([N+](=O)[O-])ccc3nc2c1,1
148,OC1c2cc3ccc4cccc5ccc(c2C2OC2C1O)c3c45,1
149,O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ccccc2)c([N+](=O)[O-])c1,1
150,C=C(C)OC(C)=O,0
151,CSCCl,1
152,O=[N+]([O-])c1cccc(C(F)(F)F)c1,0
153,O=Nc1ccc2ccc3c4c(cc5ccc1c2c53)CCCC4,1
154,O=[N+]([O-])c1ccc2ccc3cccc4c5ccccc5c1c2c34,1
155,Nc1nccs1,1
156,CCc1cccc(CC)c1NC(=O)CO,1
157,Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=C(N1CC1)C2=O,1
158,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,0
159,CCOc1ccc(N)cc1N,1
160,N#Cc1ccccc1,0
161,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
162,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1
163,O=[N+]([O-])c1ccc2snc(Cl)c2c1,1
164,C=Cc1ccc(S(=O)(=O)[O-])cc1,0
165,Cc1cccc(N/N=C2C(=O)C=Cc3ccccc32)c1C,0
166,O=C(O)c1cc(Cl)ccc1Cl,0
167,O=c1ccn([C@H]2[13CH2][C@H](O)[C@@H](CO)O2)c(=O)[nH]1,0
168,CN(CO)[N+](=O)[O-],1
169,ClCc1cccnc1,1
170,Nc1ccc(C=Cc2ccc(Cl)cc2)cc1,1
171,CCOc1ccccc1[N+](=O)[O-],1
172,Nc1ccc(N)c(S(=O)(=O)[O-])c1,0
173,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,0
174,Nc1ccc2cccnc2c1,1
175,COC(=O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1
176,CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
177,O=C(O)Cc1ccccc1Cl,0
178,CC(C)C(=O)OCC(C)(C)C(O)C(C)C,0
179,Cc1cc(C)c2c(ccc3ccccc32)c1,1
180,Cc1c2ccccc2cc2c1ccc1ccccc12,1
181,Cc1ccc(N)c(C)c1,1
182,CC(C)C(=O)Nc1snc2ccccc12,0
183,COC(=O)c1cc2c([nH]c3ccc([N+](=O)[O-])cc32)c(-c2ccccc2)n1,1
184,CNc1ccc2ncccc2c1N,0
185,CC(=O)Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1
186,NCCCN,0
187,Nc1cc(Cl)ccc1O,1
188,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
189,OCC(O)CO,0
190,Cc1ccc(S(=O)(=O)Oc2ccc(/N=N/c3ccc(-c4ccc(/N=N/c5c(O)ccc6cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c56)c(C)c4)cc3C)cc2)cc1,1
191,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0
192,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0
193,CC(N)=S,0
194,CC(=O)Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-],1
195,NCCN,1
196,COC1=CC(=O)c2c(ncc3c2[nH]c2ccncc23)C1=O,1
197,CCOC(=O)c1[nH]c2ccccc2c1NC=C1C=CC(=O)C=C1,1
198,CC(C)(C)CBr,0
199,COc1ccc2c3c(cccc13)C(=O)N(C)C2=O,0
200,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0
201,C=C(C)C(=O)OC,0
202,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1
203,Cc1cccc(C#N)c1,0
204,Clc1cncc(Cl)c1,0
205,O=P1(N(CCCl)CCCl)NC(O)CCO1,1
206,CC(C)CNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1
207,ClCCN(CCCl)c1ccc2ccccc2c1,1
208,COc1cc([N+](=O)[O-])ccc1N,1
209,O=C(c1ccccc1)C1OC1c1ccc([N+](=O)[O-])cc1,0
210,C(CCC1CO1)CC1CO1,1
211,O=c1c(=O)c2cc3ccccc3c3ccc4cccc1c4c23,1
212,CCCON=O,1
213,O=S(=O)(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,0
214,c1ccc(COC[C@@H]2CO2)cc1,1
215,O=C(O)C=CCl,1
216,Cc1cc2nc3c(cc(N)c4ccccc43)[o+]c2cc1N(C)C,1
217,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)O)C3,1
218,CNS(=O)(=O)c1ccc(N)cc1,0
219,COC(=O)c1oc(N(OC(C)=O)C(C)=O)c(-c2ccccc2)c1-c1ccccc1,0
220,CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,1
221,Nc1ccc(CCc2ccc(N)cc2)cc1,1
222,O=c1ccc2ccccc2o1,1
223,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1
224,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
225,O=C(CO)N(O)c1ccc(Cl)cc1,0
226,CC(OP(=O)(OC(C)C(Br)CBr)OC(C)C(Br)CBr)C(Br)CBr,1
227,COC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1,1
228,CC(C)NNC(=O)c1ccncc1,0
229,CC(C)(C)OOC(=O)c1ccccc1,1
230,COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1OC,1
231,CCC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1,1
232,O=[N+]([O-])c1cc2cccc([N+](=O)[O-])c2cc1[N+](=O)[O-],1
233,Clc1ccnc2ccccc12,1
234,O=C(O)CCC(=O)N(O)c1ccc(Cl)cc1,1
235,N#CCCC(=O)CCc1ccc(C(=O)O)cc1,1
236,Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1,1
237,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1
238,Cc1ccc(NC2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,1
239,CCCCOC(=O)c1ccc(O)cc1,0
240,C#CC,0
241,CCn1c(N)nc2c3cccnc3ccc21,1
242,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1
243,Nc1cc2c3c(ccc2c2ccccc12)[C@](O)[C@@](O)C=C3,1
244,O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,0
245,CC(CO)[N+](=O)[O-],0
246,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1
247,O=C(N=c1sn(C(=O)c2ccccc2)c2ccc([N+](=O)[O-])cc12)c1ccccc1,1
248,C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0
249,O=C(CCl)NCc1ccccc1,1
250,O=C(Nc1ccccc1Cl)c1csc([N+](=O)[O-])c1,1
251,COc1cc2c(c3oc4cccc(O)c4c(=O)c13)C1CCOC1O2,0
252,O=[N+]([O-])c1cccc2c1c([N+](=O)[O-])cc1cccc([N+](=O)[O-])c12,1
253,CCOC(C)=O,0
254,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,0
255,CC(=O)OC1Cc2cc3cccc4ccc5ccc1c2c5c43,1
256,Oc1cccc(Cl)c1,1
257,O=NN(c1ccc([N+](=O)[O-])cc1)C1OC[C@@H](O)[C@@H](O)[C@H]1O,1
258,O=C(CCl)C(Cl)Cl,1
259,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,1
260,Cc1nc2c(ccc3ccc4ccc(O)cc4c32)[nH]1,1
261,ClCc1c2ccccc2cc2c1ccc1ccccc12,1
262,CCOCC=O,0
263,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,0
264,ClC1=C(Cl)[C@@]2(Cl)C3C4CC(C5OC45)C3[C@@]1(Cl)C2(Cl)Cl,0
265,Cn1c(N=[N+]=[N-])nc2ccc3ncccc3c21,1
266,C=C(C=O)CCCC,1
267,CCC(CCC(C)O)COC(=O)CCCCC(=O)O,0
268,Nc1c2ccccc2nc2ccc(I)cc12,1
269,C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@@H]1C=CC(=O)[C@]12C,0
270,[2H]C(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0
271,C1COCCOCCOCCO1,0
272,Cc1cccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)c1,1
273,O=C1c2ccccc2-c2ccccc21,0
274,ClCc1ccc2c(c1)-c1cccc3cccc-2c13,1
275,Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccccc12,1
276,Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1,0
277,O=[N+]([O-])c1cc2[nH]c3ccc4ccc(O)cc4c3c2c2ccccc12,1
278,c1ccc2sncc2c1,0
279,CC(=O)Nc1ccc(/C=C/C(=O)c2ccccc2)cc1,1
280,OCCCCO,0
281,CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3cc(N=[N+]=[N-])ccc23)cc1,1
282,COc1cc(O)c2c(c1)C(=O)c1c(O)c(C)cc(O)c1C2=O,1
283,O=C=Nc1cccc2c(N=C=O)cccc12,0
284,CC(=O)O[C@H]1[C@H](OC23C=C(C)C4(CC4)C(C)(O)C2C(=O)C(C)(C)C3)O[C@H](CO)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H]1O,1
285,Nc1cc(-c2ccncc2)c[nH]c1=O,0
286,Nc1cc([N+](=O)[O-])cc(S(=O)(=O)O)c1O,0
287,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0
288,O=NN1CCOC(O)C1,1
289,CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
290,Cc1nc2c(C)c(C)c3c(nc(N)n3C)c2nc1C,1
